Marketplace;Address;TokenID;MetadataURL;Decentralized
https://opensea.io/assets/ethereum/0xed5af388653567af2f388e6224dc7c4b3241c544/5802;0xed5af388653567af2f388e6224dc7c4b3241c544;5802;https://ikzttp.mypinata.cloud/ipfs/QmQFkLSQysj94s5GvTHPyzTxrawwtjgiiYS2TBLgrvw8CW/5802;true
https://opensea.io/assets/ethereum/0x60e4d786628fea6478f785a6d7e704777c86a7c6/1773;0x60e4d786628fea6478f785a6d7e704777c86a7c6;1773;https://boredapeyachtclub.com/api/mutants/1773;false
https://opensea.io/assets/ethereum/0x23581767a106ae21c074b2276d25e5c3e136a68b/2376;0x23581767a106ae21c074b2276d25e5c3e136a68b;2376;data:application/json;false
https://opensea.io/assets/ethereum/0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d/39132472195907923298288079854653344317336;undefined;undefined;undefined;undefined
https://opensea.io/assets/ethereum/0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258/5529;0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258;5529;https://api.otherside.xyz/lands/5529;false
https://opensea.io/assets/ethereum/0xed5af388653567af2f388e6224dc7c4b3241c544/6536;0xed5af388653567af2f388e6224dc7c4b3241c544;6536;https://ikzttp.mypinata.cloud/ipfs/QmQFkLSQysj94s5GvTHPyzTxrawwtjgiiYS2TBLgrvw8CW/6536;true
https://opensea.io/assets/ethereum/0xed5af388653567af2f388e6224dc7c4b3241c544/4090;0xed5af388653567af2f388e6224dc7c4b3241c544;4090;https://ikzttp.mypinata.cloud/ipfs/QmQFkLSQysj94s5GvTHPyzTxrawwtjgiiYS2TBLgrvw8CW/4090;true
https://opensea.io/assets/ethereum/0xed5af388653567af2f388e6224dc7c4b3241c544/8214;0xed5af388653567af2f388e6224dc7c4b3241c544;8214;https://ikzttp.mypinata.cloud/ipfs/QmQFkLSQysj94s5GvTHPyzTxrawwtjgiiYS2TBLgrvw8CW/8214;true
https://opensea.io/assets/ethereum/0x60e4d786628fea6478f785a6d7e704777c86a7c6/13175;0x60e4d786628fea6478f785a6d7e704777c86a7c6;13175;https://boredapeyachtclub.com/api/mutants/13175;false
https://opensea.io/assets/ethereum/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b/7122;0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b;7122;https://clonex-assets.rtfkt.com/7122;false
https://opensea.io/assets/ethereum/0x23581767a106ae21c074b2276d25e5c3e136a68b/150;0x23581767a106ae21c074b2276d25e5c3e136a68b;150;https://live---metadata-5covpqijaa-uc.a.run.app/metadata/150;false
https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/2244;0x8a90cab2b38dba80c64b7734e58ee1db38b8992e;2244;ipfs://QmPMc4tcBsMqLRuCQtPmPe84bpSjrC3Ky7t3JWuHXYB4aS/2244;true
https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/2395;undefined;undefined;undefined;undefined
https://opensea.io/assets/ethereum/0x60e4d786628fea6478f785a6d7e704777c86a7c6/13573;undefined;undefined;undefined;undefined
https://opensea.io/assets/ethereum/0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258/69071;0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258;69071;https://api.otherside.xyz/lands/69071;false
https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/9688;undefined;undefined;undefined;undefined
https://opensea.io/assets/ethereum/0x23581767a106ae21c074b2276d25e5c3e136a68b/8604;0x23581767a106ae21c074b2276d25e5c3e136a68b;8604;https://live---metadata-5covpqijaa-uc.a.run.app/metadata/8604;false
https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/7283;undefined;undefined;undefined;undefined
https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/9827;undefined;undefined;undefined;undefined
https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/5751;0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d;5751;ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/5751;true
https://opensea.io/assets/ethereum/0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d/115792089237316195423570985008687907831832195549621440841264983739711732318078;undefined;undefined;undefined;undefined
https://opensea.io/assets/ethereum/0x23581767a106ae21c074b2276d25e5c3e136a68b/1339;0x23581767a106ae21c074b2276d25e5c3e136a68b;1339;https://live---metadata-5covpqijaa-uc.a.run.app/metadata/1339;false
https://opensea.io/assets/ethereum/0xed5af388653567af2f388e6224dc7c4b3241c544/7193;0xed5af388653567af2f388e6224dc7c4b3241c544;7193;https://ikzttp.mypinata.cloud/ipfs/QmQFkLSQysj94s5GvTHPyzTxrawwtjgiiYS2TBLgrvw8CW/7193;true
https://opensea.io/assets/ethereum/0x23581767a106ae21c074b2276d25e5c3e136a68b/1504;0x23581767a106ae21c074b2276d25e5c3e136a68b;1504;https://live---metadata-5covpqijaa-uc.a.run.app/metadata/1504;false
https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/2322;undefined;undefined;undefined;undefined
https://opensea.io/assets/ethereum/0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d/115792089237316195423570985008687907844762925492617102452873218822118924353423;undefined;undefined;undefined;undefined
https://opensea.io/assets/ethereum/0x23581767a106ae21c074b2276d25e5c3e136a68b/1020;0x23581767a106ae21c074b2276d25e5c3e136a68b;1020;data:application/json;false
https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/8276;0x8a90cab2b38dba80c64b7734e58ee1db38b8992e;8276;ipfs://QmPMc4tcBsMqLRuCQtPmPe84bpSjrC3Ky7t3JWuHXYB4aS/8276;true
https://opensea.io/assets/ethereum/0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258/38577;0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258;38577;https://api.otherside.xyz/lands/38577;false
https://opensea.io/assets/ethereum/0xed5af388653567af2f388e6224dc7c4b3241c544/6844;0xed5af388653567af2f388e6224dc7c4b3241c544;6844;https://ikzttp.mypinata.cloud/ipfs/QmQFkLSQysj94s5GvTHPyzTxrawwtjgiiYS2TBLgrvw8CW/6844;true
